upc,descuento
689304182102,350
689304214148,215
689304214131,215
689304214124,215
689304214117,215
689304214162,215
689304042321,225
689304042338,225
3548752031776,180
3548752029018,230
3548752029032,230
3548752029063,230
3548752029070,230
3548752029087,230
3548752029094,230
3548752029100,230
3548752029117,230
3548752029124,230
3548752029919,270
3548752014519,180
3548752014533,180
3548752014540,180
3548752014557,180
3548752014564,180
3548752014618,180
3548752014625,180
3548752014694,180
3548752014700,180
3548752014786,180
3548752014878,180
3548752014922,180
3548752014991,180
3548752015066,180
3548752015103,180
3548752015127,180
3548752015226,180
3548752015233,180
3548752015240,180
3548752015264,180
3548752015271,180
3548752015288,180
3548752015318,180
3548752015332,180
3548752015349,180
3548752015356,180
3548752015363,180
3548752015400,180
3548752015462,180
3548752015479,180
3548752015516,180
3548752015530,180
3548752015752,180
3548752015790,180
3548752015806,180
3548752015820,180
3548752015929,180
3548752015943,180
3548752015974,180
3548752016018,180
3548752016056,180
3548752016063,180
3548752031615,180
3548752031639,180
3548752031646,180
3548752031653,180
3548752031677,180
3548752031691,180
3548752031707,180
3548752031714,180
3548752031721,180
3548752031738,180
3548752031745,180
3548752031769,180
